                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.40702,                0.77184,                0.94294,                0.86647,                0.93883,                  0.995,                0.86808,                0.54347,                 1.1558,                 1.2997,             0.00033425,             0.00033425,             0.00033425
                     76,                0.35433,                0.63921,                 0.8918,                0.90161,                0.93822,                  0.995,                0.85076,                0.59987,                 1.0818,                 1.4083,             0.00032188,             0.00032188,             0.00032188
                     77,                0.32865,                0.69899,                0.93091,                0.92559,                0.93327,                  0.995,                  0.845,                0.62712,                 1.0375,                 1.4451,              0.0003095,              0.0003095,              0.0003095
                     78,                0.33463,                 0.5558,                0.88833,                0.91758,                0.93828,                  0.995,                0.84399,                0.62814,                 1.0517,                 1.4173,             0.00029713,             0.00029713,             0.00029713
                     79,                0.31773,                0.57539,                0.87049,                0.90246,                0.93961,                  0.995,                0.83437,                0.63831,                 1.0362,                 1.4411,             0.00028475,             0.00028475,             0.00028475
                     80,                 0.3244,                0.62818,                 0.9032,                0.89546,                0.93824,                  0.995,                  0.832,                0.64311,                 1.0677,                 1.4448,             0.00027237,             0.00027237,             0.00027237
                     81,                0.29227,                0.55283,                0.88149,                0.90185,                0.90772,                  0.995,                0.82548,                0.66567,                 1.0636,                 1.4734,                0.00026,                0.00026,                0.00026
                     82,                0.30783,                0.52774,                0.91825,                0.87242,                0.92676,                  0.995,                0.80339,                0.67976,                 1.0492,                 1.5055,             0.00024762,             0.00024762,             0.00024762
                     83,                0.34143,                0.58173,                0.92881,                0.83789,                0.94283,                  0.995,                0.81058,                0.66547,                 1.0496,                   1.48,             0.00023525,             0.00023525,             0.00023525
                     84,                 0.2892,                0.52962,                0.87908,                0.81329,                0.94343,                  0.995,                0.82868,                0.65756,                 1.0562,                 1.4573,             0.00022288,             0.00022288,             0.00022288
                     85,                0.37563,                0.60952,                0.91187,                0.79929,                0.94733,                  0.995,                0.83796,                0.65013,                 1.0386,                 1.4508,              0.0002105,              0.0002105,              0.0002105
                     86,                0.30211,                0.61437,                0.88338,                 0.7697,                0.97161,                  0.995,                0.84091,                0.62994,                 1.0769,                 1.4364,             0.00019813,             0.00019813,             0.00019813
                     87,                0.29903,                0.58187,                0.88625,                0.76021,                0.98054,                  0.995,                0.82069,                0.62669,                 1.1228,                 1.4372,             0.00018575,             0.00018575,             0.00018575
                     88,                0.29268,                0.53068,                0.89412,                0.76075,                0.97764,                  0.995,                0.79897,                0.66041,                 1.1287,                 1.4713,             0.00017338,             0.00017338,             0.00017338
                     89,                0.33267,                0.57492,                0.93261,                 0.7708,                 0.9605,                  0.995,                0.80688,                0.67033,                 1.1234,                 1.4509,               0.000161,               0.000161,               0.000161
                     90,                0.32352,                0.56978,                0.91298,                 0.7854,                0.94723,                  0.995,                0.80694,                0.69464,                 1.1318,                 1.5115,             0.00014862,             0.00014862,             0.00014862
                     91,                0.24846,                0.79021,                0.90364,                0.78788,                0.94731,                  0.995,                0.80678,                0.69176,                 1.1275,                 1.5025,             0.00013625,             0.00013625,             0.00013625
                     92,                0.22791,                0.79946,                0.82505,                0.80173,                0.94775,                  0.995,                0.80985,                0.68136,                 1.1196,                 1.4874,             0.00012387,             0.00012387,             0.00012387
                     93,                0.19885,                 0.7553,                0.86788,                0.81459,                0.94765,                  0.995,                0.80209,                0.66707,                  1.142,                 1.4524,              0.0001115,              0.0001115,              0.0001115
                     94,                0.22444,                0.75316,                0.88817,                0.81251,                0.99226,                  0.995,                0.80212,                  0.655,                  1.144,                 1.4189,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.21127,                0.73003,                0.85572,                0.80891,                      1,                  0.995,                0.81303,                0.64223,                 1.1537,                 1.3922,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.19085,                0.78451,                0.81119,                0.84802,                0.99114,                  0.995,                0.83358,                0.63174,                  1.132,                 1.3782,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.23936,                0.80453,                0.87623,                0.87938,                0.98531,                  0.995,                0.83515,                0.63097,                 1.0839,                 1.3812,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.20996,                   0.76,                0.78911,                0.90838,                0.98571,                  0.995,                0.82595,                0.63342,                 1.0557,                 1.3933,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.20467,                0.76229,                0.81329,                 0.9282,                0.98763,                  0.995,                0.82594,                0.62072,                 1.0347,                 1.3943,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.19878,                 0.7582,                0.83982,                 0.9441,                0.98985,                  0.995,                 0.8337,                0.61202,                 1.0117,                 1.4042,             2.4875e-05,             2.4875e-05,             2.4875e-05
